                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3924,                 1.1114,                 1.5155,                0.66006,                0.61111,                0.63868,                0.27399,                 2.0934,                 1.7223,                 2.2631,              0.0019426,              0.0019426,              0.0019426
                     61,                 1.4984,                 1.2312,                 1.5623,                0.49545,                0.44444,                  0.485,                0.21224,                 2.1887,                 1.9677,                 2.1829,              0.0019416,              0.0019416,              0.0019416
                     62,                 1.3811,                   1.15,                 1.5069,                0.46851,                0.72222,                0.68385,                0.31157,                 2.0894,                  1.472,                 2.1363,              0.0019406,              0.0019406,              0.0019406
                     63,                 1.5162,                 1.1342,                 1.5592,                0.63483,                0.72222,                0.67735,                0.32474,                 2.0299,                 1.4162,                 2.0639,              0.0019396,              0.0019396,              0.0019396
                     64,                 1.4043,                 1.0564,                 1.4693,                0.77234,                0.75468,                0.81597,                0.31946,                 1.9042,                 1.1908,                 1.9806,              0.0019386,              0.0019386,              0.0019386
                     65,                 1.3955,                 1.1888,                 1.4571,                0.86324,                0.70221,                0.81591,                 0.3781,                 1.9795,                 1.1502,                 2.1767,              0.0019376,              0.0019376,              0.0019376
                     66,                 1.3794,                 1.0865,                 1.4608,                0.70662,                0.80353,                0.78006,                0.33434,                 1.9732,                 1.4106,                 2.1556,              0.0019366,              0.0019366,              0.0019366
                     67,                  1.375,                 1.1357,                 1.4781,                0.78632,                0.61345,                 0.7627,                0.35126,                 1.8947,                 1.3748,                 2.0864,              0.0019357,              0.0019357,              0.0019357
                     68,                 1.2847,                0.98436,                 1.3824,                0.75365,                0.88889,                0.83973,                0.45861,                 1.5681,                 1.1216,                 1.7957,              0.0019347,              0.0019347,              0.0019347
                     69,                  1.392,                 1.1183,                   1.45,                0.81241,                0.88889,                0.87519,                0.44191,                 1.6568,                 1.1711,                 1.8107,              0.0019337,              0.0019337,              0.0019337
                     70,                  1.328,                 1.0083,                 1.3967,                0.73531,                0.61771,                 0.7541,                0.33484,                 1.9402,                 1.3798,                 1.9855,              0.0019327,              0.0019327,              0.0019327
                     71,                 1.4257,                 1.1734,                 1.4905,                0.58492,                0.88889,                0.74125,                0.36593,                 1.8777,                 1.4518,                 1.9583,              0.0019317,              0.0019317,              0.0019317
                     72,                 1.4687,                  1.195,                 1.4977,                0.77962,                 0.7865,                0.85997,                0.44039,                 1.7276,                 1.4423,                 1.8998,              0.0019307,              0.0019307,              0.0019307
                     73,                 1.3186,                 1.1167,                 1.4679,                0.81482,                0.72222,                0.85888,                0.49364,                 1.6053,                 1.3787,                 1.8347,              0.0019297,              0.0019297,              0.0019297
                     74,                 1.2946,                 1.0038,                 1.4036,                0.85802,                0.77778,                 0.8752,                0.48156,                 1.5683,                 1.1406,                 1.8191,              0.0019287,              0.0019287,              0.0019287
                     75,                  1.314,                0.96255,                 1.4258,                0.93008,                0.73986,                0.89288,                0.46063,                  1.687,                 1.1383,                 1.8699,              0.0019277,              0.0019277,              0.0019277
                     76,                 1.2518,                0.97637,                 1.4093,                0.82334,                0.77683,                0.80528,                0.35074,                 1.8015,                 1.2759,                 1.9475,              0.0019267,              0.0019267,              0.0019267
                     77,                 1.2381,                0.98303,                 1.3819,                 0.8521,                0.44444,                0.62512,                0.34201,                 1.8547,                 1.3504,                 1.9737,              0.0019258,              0.0019258,              0.0019258
                     78,                 1.3354,                 1.0323,                 1.4599,                0.77686,                 0.7739,                 0.7973,                0.43806,                 1.7979,                 1.1346,                  1.974,              0.0019248,              0.0019248,              0.0019248
                     79,                 1.3478,                0.95261,                 1.4454,                 0.7297,                0.72222,                 0.8108,                0.41614,                 1.7815,                 1.0676,                 1.9441,              0.0019238,              0.0019238,              0.0019238
                     80,                 1.3488,                 1.0175,                 1.4625,                0.84239,                0.77778,                0.91497,                0.49229,                 1.6661,                 1.0031,                 1.8692,              0.0019228,              0.0019228,              0.0019228
